Resolution,Date,Summary
A/HRC/RES/11/4,2009/06/17,Promotion of the right of peoples to peace :resolution /adopted by the Human Rights Council at its 11th session
A/HRC/RES/11/5,2009/06/17,"The effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights :resolution /adopted by the Human Rights Council at its 11th session"
A/HRC/RES/11/10,2009/06/18,Situation of human rights in the Sudan :resolution /adopted by the Human Rights Council at its 11th session
A/HRC/RES/12/9,2009/10/01,Human rights and international solidarity :resolution /adopted by the Human Rights Council at its 12th session
A/HRC/RES/12/21,2009/10/02,Promoting human rights and fundamental freedom through a better understanding of traditional values of humankind :resolution /adopted by the Human Rights Council at its 12th session
A/HRC/RES/12/22,2009/10/02,Human rights and unilateral coercive measures :resolution /adopted by the Human Rights Council at its 12th session
A/HRC/RES/12/23,2009/10/02,The right to development :resolution /adopted by the Human Rights Council at its 12th session
A/HRC/DEC/12/119,2009/10/02,"The effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights :decision /adopted by the Human Rights Council at its 12th session"
A/HRC/RES/S-12/1,2009/10/16,"The human rights situation in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 12th special session"
A/HRC/RES/13/1,2010/03/24,Composition of staff of the Office of the United Nations High Commissioner for Human Rights :resolution /adopted by the Human Rights Council at its 13th session
A/HRC/RES/13/5,2010/03/24,Human rights in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 13th session
A/HRC/RES/13/6,2010/03/24,Right of the Palestinian people to self-determination :resolution /adopted by the Human Rights Council at its 13th session
A/HRC/RES/13/7,2010/03/24,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan :resolution /adopted by the Human Rights Council at its 13th session"
A/HRC/RES/13/8,2010/03/24,"The grave human rights violations by Israel in the Occupied Palestinian Territory, including East Jerusalem :resolution /adopted by the Human Rights Council at its 13th session"
A/HRC/RES/13/9,2010/03/25,Follow-up to the report of the United Nations Independent International Fact-Finding Mission on the Gaza Conflict :resolution /adopted by the Human Rights Council at its 13th session
